attendance_rate,mid_grade,assignment_score,gender,department,performance_score
96.61454684458079,55.25880365810295,81.1789922224813,Male,CS,77.51369366924096
93.13471818654867,35.55151364399477,41.001021605767924,Male,Physics,47.67445156238569
84.2729070060227,85.65370356910387,69.48213308871965,Male,CS,87.95511988495048
66.32291726131218,58.489293671881256,50.28458228208828,Male,Bio,61.22952267560014
94.73980821614677,62.62338426543409,77.87308334020943,Male,CS,81.2347828742777
70.54294483513358,96.6238148165117,92.89051500891955,Female,Math,76.40915619572752
83.53981448468305,97.91051259797298,58.587166015355024,Female,Bio,87.44523865022273
81.45923780252647,71.55934813988067,95.4173548763161,Male,Math,74.83300721676436
74.60011780018617,34.870043602011535,95.42013657426325,Male,Physics,65.28184269188726
58.8996282695646,61.262428818355005,41.4842187910478,Female,Math,56.245253551091444
74.25193803665982,72.01696710509171,77.65279004813607,Female,Math,66.17676515482702
56.74055062026127,38.20728199337459,70.92240895281256,Male,Math,45.31220399139335
77.27228526087461,61.84275972460272,41.956875874077085,Male,CS,71.20474568783774
95.17172469844492,78.17493297052886,71.51860515834694,Female,Bio,80.11868758295651
63.18283083681486,89.14730798909036,46.907897283272035,Female,Physics,70.77428644900365
73.95176861684635,37.793095615352065,84.97561669022141,Male,Bio,68.31043100975508
85.12270258576775,67.1399854072676,60.94606698611257,Female,Physics,73.70272764157858
99.12560105064256,83.60055918195478,50.09940047305399,Female,Math,84.7562207771265
60.41064077322337,71.97894304983274,46.538143122518804,Male,Bio,64.17037462299636
87.10566655094378,30.114615507962917,57.75577461771678,Female,Bio,56.06595008187982
69.67596639772145,82.9529900511294,73.04932680448263,Female,CS,75.64564933277198
62.753979307261744,85.72732404617415,85.90778378915357,Female,Bio,74.0451136528695
53.31718342980634,76.98464713481768,67.18480711744279,Male,Bio,64.59615793740494
75.31986482130131,98.77969730654144,96.98290001705331,Male,Physics,88.42734492212597
70.52931191728871,80.58575236523427,54.136801812855964,Male,CS,76.55068003551838
86.2298976417833,32.07828885157465,58.30091545618912,Male,CS,52.09956139991386
87.66974325000942,57.68823812965451,50.95634608753558,Female,Math,75.53541475010084
84.52983430606619,31.72066453558439,63.47148084295412,Male,Math,57.37266899191471
72.20217388514473,95.76325199773052,65.2177654303014,Male,CS,71.87936907978029
93.33346446490037,32.7481124153792,62.16085282620442,Female,Bio,58.14272709358052
60.49518749837435,57.2070424094063,81.01669643054092,Female,Math,65.04329648148449
93.01609389210364,61.59169664357523,69.60119895296195,Male,Math,68.00286498328173
77.6469823573337,95.03837545433228,72.22033631135622,Female,Math,81.34390380248736
82.0731126509693,35.11651018780309,85.78856842285629,Male,Physics,61.54013760087822
85.61416250107153,93.01439903026595,71.89407756899269,Female,Physics,77.15346709859395
50.98700222259371,57.35295014877124,60.250173399895786,Female,Math,52.23444708569251
77.75171525042686,94.10973795229476,86.09566008707701,Male,Bio,88.11223495779302
78.51762047165283,85.98120605499582,87.45510177201356,Female,Math,77.55328703365073
71.76058841910327,76.16640078684742,99.41026103276289,Male,Math,79.23430859234297
86.9018304442084,44.35541807559444,50.84326585907982,Female,Physics,52.72023190080488
74.32553422143376,39.635748483512096,72.60531852207563,Female,CS,58.8197313087203
67.76012052023444,52.58287308280637,71.46801301316373,Female,Physics,66.96683999139326
81.22902679151062,43.83524581303053,73.79006460148389,Male,Math,66.06830316499922
68.72767770435647,91.12273139838547,53.84498658657556,Male,Bio,71.38352656559508
82.92991578843176,59.42118930632941,64.572803621056,Female,Math,76.94049716075709
85.74083198179872,86.21733400756989,65.39885832580845,Female,CS,83.81385094353158
95.8982710918828,52.501331369177365,92.11633049947724,Female,Math,81.82218514795832
78.53427352224514,73.15624783960507,42.735974539137324,Male,Physics,70.27962342432208
69.96755922379572,44.866885566906774,83.3079207425036,Female,CS,76.24864444328186
60.001725029578765,51.75877542347911,46.59367632899124,Male,CS,50.439813564384565
90.29444133688109,68.07616723829898,99.13160438718174,Female,Physics,78.15132549771019
62.17222603400991,47.80057847099603,83.73381922353698,Male,CS,60.909249286232985
73.5373676126629,59.42478990372372,40.72785191054307,Female,Physics,55.57653263857094
97.37433758443058,99.62589776821456,40.843772861731125,Female,CS,90.70809160147432
87.9810015109844,41.4115339681092,44.11623860515909,Female,Bio,63.0278527404842
77.39529178062858,53.894494393237316,65.95418281879097,Female,CS,71.7662253624143
52.15265233201341,94.80237838565107,64.0269937114703,Female,CS,75.09210346645088
78.13504193098855,57.273571487508164,93.34429605336337,Male,Physics,65.10047779279415
77.81660271892505,75.63621668767377,75.06255792262814,Female,CS,71.00375514667431
58.42751305378762,86.3054444763444,66.01178245413558,Male,Math,76.6679834205415
63.6695921148794,97.48900779305254,94.03225382113389,Female,CS,85.92548124131011
69.64307299185064,44.829385938356054,71.77023896489632,Female,Bio,65.55406013048689
65.0989288430321,60.354432411327736,51.36332414392747,Female,Math,56.38358314635714
60.16502969201338,76.32447064349537,65.47185064699701,Male,CS,65.60435166629003
59.84804689398037,59.70241637386014,73.37122197356862,Female,Bio,59.425785239725435
65.14982195906353,66.84152929571952,96.53714687897796,Male,CS,67.98542668987011
80.96947158505667,58.83634394402681,86.19502152019484,Male,Math,77.27090204744894
