attendance_rate,mid_grade,assignment_score,gender,department,performance_score
70.70400731825785,43.580519783884114,94.71717497975902,Female,Physics,56.19536825173742
75.344937986931,47.04643606893344,62.541268606380385,Female,Bio,69.29914105825782
84.26794133891684,81.03100878616094,96.88711840804828,Male,CS,76.54275262521288
82.69866595857985,88.26545945215886,74.81664019900761,Female,Physics,80.50917423928358
56.72363500399972,74.88776521088343,92.02061444424035,Male,Math,76.65261185844577
64.6985835713539,48.12278734800686,76.30696616269665,Male,CS,58.99930160025004
62.74626068592756,70.99199785194875,78.79882966348634,Female,Math,75.34676821692781
63.389582789636464,99.25563027539447,74.03499736356125,Male,CS,85.22671227373786
72.35426571467022,73.74038354138227,70.63924247141647,Male,Physics,71.11390443670501
67.82532562530488,35.482543022271535,92.82786103003849,Male,CS,49.97529566486075
83.35613710152353,53.255837460801146,47.37016171943383,Male,Physics,61.7242660682427
83.2125084814231,68.61660527252882,57.02420714960577,Female,Math,74.62139760552377
61.59479091587869,56.29920692053513,87.92999353963978,Male,Math,59.04355781094394
52.20811833856204,66.73734154952894,81.47197811309668,Male,CS,75.1673453546944
68.64827312044484,70.34508646267618,69.1441370153056,Male,Math,67.94873367671053
66.13760554068476,48.927754418886025,60.980685248028465,Male,CS,60.96685302884469
99.60101939531702,81.81920087668557,78.483339220369,Male,Physics,91.42496492934924
78.50890928705975,74.52972260123424,63.32638594824644,Male,Physics,68.69211783329335
85.7508642374088,91.486902256965,51.14452361779854,Male,Bio,84.52802592630101
97.21265875559567,91.80317023902258,55.90929397794544,Male,Math,84.70436869729718
62.159441255305765,65.19389447264007,64.23246874686964,Male,Physics,68.18755879380268
56.81096803749679,69.24506538494028,67.94768894237696,Female,Bio,62.69050935029269
82.71479149460625,51.49970905730209,68.34381743494454,Female,Bio,71.40708080952227
67.23045033107135,97.7000224953592,72.49520822118936,Female,CS,75.02135618914728
86.79698897028855,89.7339139864666,45.926686496586164,Male,Bio,74.16486466019883
64.90091748930922,50.828316336397826,83.97986096483417,Female,Physics,63.12171374436861
51.394172713931695,85.51570013751638,73.13438190170373,Female,CS,69.45483766914411
57.57659309540733,68.1340670638247,82.88296165123984,Female,Math,57.10620195063194
59.644084080011886,43.87591059093903,90.56299940902619,Female,Math,62.903194071986235
82.00684097313032,95.82025595896931,79.72654993588108,Female,CS,91.48566655834907
80.5494107618627,57.648193126489396,81.53602099791627,Female,Physics,73.90838829020738
